OrderID,DisplayCustomer,Customer for OutShipment::CustomerID,ChemistryIDs,OutShipID,OrderID,ChemistryIDs,DisplayCustomer,Location,EstShipDate,TrailerTypeDisplay,Drum CT,TrailerTypes::MaxShipUnits,TrailerTypes::MaxWeight,cNumUnitsOut,cGrossWeight,cQuantity,InvUnit for OutShipment::InvUnitID,UnitTypes for InvUnit for OutShipment::UnitType,InvUnit for OutShipment::Area,MRL for OutShipment InvUnit::MaterialName,InvUnit for OutShipment::Notes,InvUnit for OutShipment::ESAUnit,InvUnit for OutShipment::GrossWeight,InvUnit for OutShipment::Quantity
K001400,Retriev Technologies AKA Toxco,5068,,2113,K001400,,Retriev Technologies AKA Toxco,Howell,05/15/2012,53’ Trailer,,24,"44,000 ",20,"42,944 ",,103906,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,972.00 ",
,,,,,,,,,,,,,,,,,103907,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,970.00 ",
,,,,,,,,,,,,,,,,,103908,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,998.00 ",
,,,,,,,,,,,,,,,,,103909,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,980.00 ",
,,,,,,,,,,,,,,,,,103910,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,993.00 ",
,,,,,,,,,,,,,,,,,103911,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,322.00 ",
,,,,,,,,,,,,,,,,,103912,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,978.00 ",
,,,,,,,,,,,,,,,,,103913,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,002.00 ",
,,,,,,,,,,,,,,,,,103914,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,978.00 ",
,,,,,,,,,,,,,,,,,103915,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,317.00 ",
,,,,,,,,,,,,,,,,,103917,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,318.00 ",
,,,,,,,,,,,,,,,,,103921,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,977.00 ",
,,,,,,,,,,,,,,,,,103922,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,612.00 ",
,,,,,,,,,,,,,,,,,103923,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,650.00 ",
,,,,,,,,,,,,,,,,,103924,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,625.00 ",
,,,,,,,,,,,,,,,,,103937,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,632.00 ",
,,,,,,,,,,,,,,,,,103938,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,652.00 ",
,,,,,,,,,,,,,,,,,103941,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,636.00 ",
,,,,,,,,,,,,,,,,,103946,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,666.00 ",
,,,,,,,,,,,,,,,,,103947,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,666.00 ",
